107;Аделаида,Аделаиды,Аделаиде,Аделаиду,Аделаидой;{"name": "Аделаида", "airport": "ADL", "country": "Австралия"}
108;Аден,Адена,Адену,Аденом,Адене;{"name": "Аден", "airport": "ADE", "country": "Йемен"}
109;АДИКАЕВКА,Адикаевка;{"name": "Адикаевка","statCode": "2024578","country": "Россия"}
110;АДИЩЕВО,Адищево;{"name": "Адищево","statCode": "2030611"}
111;АДЛЕР,Адлер;{"name": "Адлер", "airport": "AER", "statCode": "2064150"}
112;Аднан Мендерес;{"name": "Аднан Мендерес", "airport": "ADB", "country": "Турция"}
113;Адрар,Адрара,Адрару,Адраром,Адраре;{"name": "Адрар", "airport": "AZR", "country": "Алжир"}
114;АДРИАНОВКА,Адриановка;{"name": "Адриановка","statCode": "2050373"}
115;АДУЙ,Адуй;{"name": "Адуй","statCode": "2030213","country": "Россия"}
116;АДЫР,Адыр;{"name": "Адыр","statCode": "2708886","country": "Казахстан"}
117;Адыяман,Адыямана,Адыяману,Адыяманом,Адыямане;{"name": "Адыяман", "airport": "ADF", "country": "Турция"}
118;Ажен,Ла-Гареннэ,Ла Гареннэ,ЛаГареннэ,Ажена,Ажену,Аженом,Ажене;{"name": "Ажен", "airport": "AGF", "country": "Франция"}
119;АЖИНИЯЗ,Ажинияз;{"name": "Ажинияз","statCode": "2900707","country": "Узбекистан"}
120;АЗАНКА,Азанка;{"name": "Азанка","statCode": "2030218"}
121;АЗАТ,Азат;{"name": "Азат","statCode": "2708869","country": "Казахстан"}
122;АЗЕЙ,Азей;{"name": "Азей","statCode": "2054802","country": "Россия"}
123;АЗИАТСКАЯ,Азиатская;{"name": "Азиатская","statCode": "2030138"}
124;АЗОВСКАЯ,Азовская;{"name": "Азовская","statCode": "2078805"}
125;АЗЯМ,Азям;{"name": "Азям","statCode": "2040457","country": "Россия"}
126;Аиджал,Аиджала,Аиджалу,Аиджалом,Аиджале;{"name": "Аиджал", "airport": "AJL", "country": "Индия"}
127;Аитутаки,Аитутак,Аитутакам,Аитутаками,Аитутаках;{"name": "Аитутаки", "airport": "AIT", "country": "Острова Кука"}
128;АЙ ЯГУН,Ай-Ягун;{"name": "Ай-Ягун","statCode": "2031452","country": "Россия"}
129;АЙ,Ай;{"name": "Ай","statCode": "2040435","country": "Россия"}
130;АЙВАЗОВСКАЯ,Айвазовская;{"name": "Айвазовская","statCode": "2078766"}
131;АЙГИР,Айгир;{"name": "Айгир","statCode": "2024960","country": "Россия"}
132;Айгугиг,Айгугига,Айгугигу,Айгугигом,Айгугиге;{"name": "Айгугиг", "airport": "IGG", "country": "США"}
133;АЙГЫРЖАЛ,Айгыржал;{"name": "Айгыржал","statCode": "2700735","country": "Казахстан"}
134;Айдахо-Фолс,Айдахо Фолс,АйдахоФолс,Фэннинг-Филд,Фэннинг Филд,ФэннингФилд,Айдахо-Фолса,Айдахо-Фолсу,Айдахо-Фолсом,Айдахо-Фолсе;{"name": "Айдахо-Фолс", "airport": "IDA", "country": "США"}
135;АЙДЫРЛЯ,Айдырля;{"name": "Айдырля","statCode": "2040383"}
136;АЙЗКРАУКЛЕ,Айзкраукле;{"name": "Айзкраукле","statCode": "2500352","country": "Латвия"}
137;АЙКА,Айка;{"name": "Айка","statCode": "2030457","country": "Россия"}
138;Айленд-Гарден-Хилл,Айленд Гарден Хилл,АйлендГарденХилл,Айленда-Гардена-Хилла,Айленду-Гардену-Хиллу,Айлендом-Гарденом-Хиллом,Айленде-Гардене-Хилле;{"name": "Айленд-Гарден-Хилл", "airport": "YIV", "country": "Канада"}
139;АЙНА БУЛАК,Айна-Булак;{"name": "Айна-Булак","statCode": "2700794","country": "Казахстан"}
140;АЙНАК,Айнак;{"name": "Айнак","statCode": "2044733","country": "Россия"}
141;АЙНИ,Айни;{"name": "Айни","statCode": "6600874"}
142;АЙРИТЕ,Айрите;{"name": "Айрите","statCode": "2500283","country": "Латвия"}
143;Айрон-Маунтин,Айрон Маунтин,АйронМаунтин,Форд,Айрона-Маунтина,Айрону-Маунтину,Айроном-Маунтиным,Айроне-Маунтине;{"name": "Айрон-Маунтин", "airport": "IMT", "country": "США"}
144;Айронвуд,Годжебик-Каунти,Годжебик Каунти,ГоджебикКаунти,Айронвуда,Айронвуду,Айронвудом,Айронвуде;{"name": "Айронвуд", "airport": "IWD", "country": "США"}
145;АЙРЫТАМ,Айрытам;{"name": "Айрытам","statCode": "2900788","country": "Узбекистан"}
146;АЙСА,Айса;{"name": "Айса","statCode": "2708923","country": "Казахстан"}
147;АЙСАРЫ,Айсары;{"name": "Айсары","statCode": "2709973","country": "Казахстан"}
148;Айэрс-Рок,Айэрс Рок,АйэрсРок,Коннелан,Айэрса-Рока,Айэрсу-Року,Айэрсом-Роком,Айэрсе-Роке;{"name": "Айэрс-Рок", "airport": "AYQ", "country": "Австралия"}
149;АК БУЛАК,Ак-Булак;{"name": "Ак-Булак","statCode": "2704850","country": "Казахстан"}
150;АК БУЛАТ,Ак-Булат;{"name": "Ак-Булат","statCode": "2700744","country": "Казахстан"}
151;АК КИСТАУ,Ак-Кистау;{"name": "Ак-Кистау","statCode": "2704793","country": "Казахстан"}
152;АК КУЛЬ,Ак-Куль;{"name": "Ак-Куль","statCode": "2708840","country": "Казахстан"}
153;АК ТОБЕ,Ак Тобе;{"name": "Ак Тобе","statCode": "2900689","country": "Узбекистан"}
154;АК УЗЯК,Ак-Узяк;{"name": "Ак-Узяк","statCode": "2700774","country": "Казахстан"}
155;АК ЧУЛАК,Ак-Чулак;{"name": "Ак-Чулак","statCode": "2700848","country": "Казахстан"}
156;Акаба,Акабы,Акабе,Акабу,Акабой;{"name": "Акаба", "airport": "AQJ", "country": "Иордания"}
157;АКАДЕМИЧЕС,Академическая;{"name": "Академическая","statCode": "2004457"}
158;АКАДЫР,Агадырь;{"name": "Агадырь","statCode": "2708921","country": "Казахстан"}
159;Акапулько,Генерал Хуан Н. Альварес;{"name": "Акапулько", "airport": "ACA", "country": "Мексика"}
160;АКБАЛЫК,Акбалык;{"name": "Акбалык","statCode": "2700766","country": "Казахстан"}
161;АКБАРАБАД,Акбарабад;{"name": "Акбарабад","statCode": "2900702","country": "Узбекистан"}
162;АКБАШ,Акбаш;{"name": "Акбаш","statCode": "2024707","country": "Россия"}
163;АКДАЛА,Акдала;{"name": "Акдала","statCode": "2700884","country": "Казахстан"}
164;АКЕСПЕ,Разъезд Акеспе;{"name": "Разъезд Акеспе","statCode": "2705802","country": "Казахстан"}
165;АКЖАЙДАК,Акжайдак;{"name": "Акжайдак","statCode": "2708924","country": "Казахстан"}
166;Акжигит;{"name": "Акжигит","statCode": "2900877","country": "Узбекистан"}
167;АКИМОВКА,Акимовка;{"name": "Акимовка","statCode": "2210675","country": "Украина"}
168;Акита,Акиты,Аките,Акиту,Акитой;{"name": "Акита", "airport": "AXT", "country": "Япония"}
169;АККАРЖА,Аккаржа;{"name": "Аккаржа","statCode": "2208483","country": "Украина"}
170;АККАХАРЬЮ,Аккахарью;{"name": "Аккахарью","statCode": "2004259","country": "Россия"}
171;АККЕМЕР,Аккемир;{"name": "Аккемир","statCode": "2704848","country": "Казахстан"}
172;Аккра,Аккры,Аккре,Аккру,Аккрой;{"name": "Аккра", "airport": "ACC", "country": "Гана"}
173;АККУМ,Аккум;{"name": "Аккум","statCode": "2704942","country": "Казахстан"}
174;Аклавик,Аклавика,Аклавику,Аклавиком,Аклавике;{"name": "Аклавик", "airport": "LAK", "country": "Канада"}
